nd,nper,freq,duree
cd3f2622b615b4dd4bf006a49f3f1eaf,3.22222222222222,73.2222222222222,2226.83888888888
871da6f799116709900095c3550b8578,3,13.5,645.8125
1a19b1357b3bee8b8c99f1e774965499,3,83.2,1587.426
88b483425b450b35297d33837d92e674,3.125,46.125,1820.83
4ccab0b7bebef7862df38678833eb22f,3,10.4,259.47
b0c70dabe8efb17a586e8b2d56380f4b,3,23.1,711.457
cb399d23259b2500402f673f8025399e,2.83333333333333,4.5,174.826666666666
382c31dfcaa28e340a06dc4b9ff11c99,3,12.4,412.798
8219edf3066275842ee5ddbc8cee4621,2.81818181818181,56.9090909090909,1513.77454545454
1276afe4a1fc6f95be12297e9cf452ed,3,48.6,1454.52
9b22a95613238943758b373eeae2029d,3.25,4.5,99.49
a05d6d3d10f4d7f5a4c783656b14c23f,3,7.5,202.8375
ee8cec8481898d9c5d110bfeb185c44e,3.5,81,2556.6875
cbaf693699e28dc99c61b65e49418656,3,18.8,601.11
4bd07b0a32c45ece0cf297f387eabbf3,2,7.66666666666666,284.06
9ef04f7df95c1cffe8534a0850e0c227,3,56.6,2447.72599999999
1edfd23d249575005e6f195a4121ddb6,2.57142857142857,3.42857142857142,76.7557142857142
52b1dd52d05a2aa0024a4b08859e2ff1,4.5,4,177.61
c68aa74f248bffeca438fb981178f5cb,2.83333333333333,69.3333333333333,2918.56
b09f38f9d4fd84ddc898885741236f43,3,22.6,1085.754
141b34bfe6e0850aaebb88808a19e399,3,25,756.712
ed83c98334a591558903116458d7b877,2,38.75,1290.26
cc3cc102a9299ccbdd8f7538ed3fddd2,1,5,142.38
d2bd74332a4cc7850a2bec4c705dd8b9,2.66666666666666,64.1666666666666,1623.95333333333
29d56d4e1b99cd767ae96f10e5d81120,2.85714285714285,151,4758.56285714285
2c461dbe07eaa51eddbb32a529f71d0a,3,60.9,2699.725
31d041918fe0193005c9dfbdce679264,2.5,7.5,219.755
47632cd5345214d8c3589d40c3cbfe24,4,14.6666666666666,673.959999999999
046e1221a4e5c8c102408ccecc3b21c5,2.83333333333333,7.83333333333333,299.11
4a585ba3e167609a34842bbbec681eb4,3,18.6666666666666,592.055
9676c74116f9e75f0fe58991d57174d5,3.42857142857142,4.85714285714285,319.171428571428
d47afb5913a21a3769321827c2a4b7ed,3,4,110.81
f385c1062eec54cf24e0b87c28a4edd6,4,8.66666666666666,242.609999999999
7e51c0932225557427e1c7e960345118,2.66666666666666,118.666666666666,4301.57166666666
aa0489d22e38dcc7ce0087301244f282,3,12.2,186.565
038421f4b4bd680cd61cbf5f3a88e953,3.33333333333333,13,401.27
0cea83ff616686af437799acc19b9001,3,9.5,451.8775
8b19c6978c3ed815a92c08011d3fb664,3,60,2072.14888888888
d57b2c9281538eea617a690657f3ebdd,2.25,5.5,173.4775
9378b6d254f7904cfbcaef82d6545360,3,26.5,701.146999999999
da6145b4a742cfa88b0584ff1ccd352e,3,6.8,190.378
3d17e0e54e7dbe56246da447f24330c6,3,106.6,4136.68399999999
86c4ba1d46efd64b932a68d2cc44dde0,3,26.7,1239.445
cdc527c7d7445d6678376707af485f33,3,25.6,727.174
634ddc57a4921f00205a89ffb2a80598,2.66666666666666,51.1666666666666,1810.29666666666
59fca317dd543ec2a18f736318581791,1.5,17,362.294999999999
a42c594aba2dc878314ac9fa5d7d3491,3,78,2483.234
57d530f25093ba08e3a0f5b689909bd0,4,3.33333333333333,103.77
09257e304b1cdeaeba19780868267c86,3,66,1462.156
92ac27177c9011c5c549407a589a06a4,1.66666666666666,10.3333333333333,411.766666666666
1709efe3dd4ed1e406635bf38bd387b0,3,40.3,1092.86999999999
91ebafb162484ee7e72a2cbe164686cc,2.9,9,223.306999999999
ec720155cd83c62b896d5b91415ff8f7,3,47.5,1635.377
90b39f5b7f4092e66813aef8e14e8c1d,2,1,14.73
b97d0535447bfb3d138d253af9d6706d,3,14.2,579.034
d453b42baeb6260d665330d1fa71f4a6,3,20,748.742
18f6fffdcba5f5ec44ff6e346bea4471,3,28.3,1124.383
95f1f167242695e2b5058162daaf61dc,3.5,4.25,108.2675
8881059db6e955f9879b9cab6a8297b1,3.22222222222222,13.1111111111111,339.548888888888
528fced6f2683f441fa88bacd0392b4a,2,2.5,145.445
a5b1cc74754b14e2cf681e50d26244ed,2,5,247.94
3331a23e6e84140b16853b18855ada08,3.14285714285714,9.57142857142857,308.432857142857
6a243a471ed965ad772b19aa77174132,3,26.5,1091.91
b83f236be68b94a0da697929adbfd493,3,42,1574.83599999999
578c3e7a20407184bddf22dd91754795,3,30.6,870.533
7012ad1ad8a4993df41084ef63d83c07,3,94.2,3716.49
6ccac68680884c18abc296ffbf219c20,3,43.2222222222222,1526.24333333333
6f7b3fddec2c3530db5ada207f1cd0de,2.83333333333333,24.8333333333333,743.835
407adf8478b0b7933346bd9ffff9aab9,3,19.2,310.154
